Date,Open,High,Low,Close,Volume,Adj Close
1998-07-24,113.75,115.62,112.50,113.81,60366400,20.95
1998-07-23,116.31,117.50,113.00,113.00,51029600,20.80
1998-07-22,112.00,117.25,111.87,116.75,71654400,21.49
1998-07-21,116.87,119.00,112.50,112.81,74605200,20.76
1998-07-20,118.19,119.50,116.81,117.00,45794800,21.54
1998-07-17,117.50,119.62,115.94,117.94,83108400,21.71
1998-07-16,118.06,118.87,116.62,117.37,65125200,21.60
1998-07-15,116.00,118.00,115.62,117.37,48690000,21.60
1998-07-14,118.25,118.75,115.50,116.50,56972400,21.44
1998-07-13,114.12,118.25,113.62,117.56,69223200,21.64
1998-07-10,111.12,113.25,109.87,113.19,45396800,20.83
1998-07-09,110.00,112.00,109.75,111.00,43690000,20.43
1998-07-08,108.12,110.12,106.75,109.87,41553600,20.22
1998-07-07,107.81,108.56,106.50,107.94,32422800,19.87
1998-07-06,106.87,108.06,105.37,107.81,35307600,19.84
1998-07-02,108.81,109.12,107.12,107.25,27321200,19.74
1998-07-01,109.12,110.12,107.19,109.37,53470400,20.13
1998-06-30,105.25,108.56,104.62,108.37,77010000,19.95
1998-06-29,105.50,107.69,105.25,107.44,65906000,19.78
1998-06-26,102.25,104.62,102.00,104.44,55680400,19.22
1998-06-25,105.87,106.87,101.37,101.56,88969600,18.69
1998-06-24,101.69,105.12,99.94,104.94,105724800,19.32
1998-06-23,95.81,100.87,95.25,100.75,124675200,18.54
1998-06-22,94.75,95.94,93.69,95.81,48969600,17.64
1998-06-19,92.87,94.75,92.50,94.69,91226800,17.43
1998-06-18,90.81,91.75,90.37,91.19,39228400,16.78
1998-06-17,89.94,92.37,89.75,91.06,76147600,16.76
1998-06-16,86.31,89.94,85.50,89.87,61138400,16.54
1998-06-15,84.69,87.31,84.56,85.94,42846000,15.82
1998-06-12,84.87,86.12,84.00,85.75,41323600,15.78
1998-06-11,86.44,87.12,85.12,85.31,41271200,15.70
1998-06-10,86.62,88.37,85.87,86.00,33290400,15.83
1998-06-09,85.31,87.56,85.25,87.06,35690400,16.02
1998-06-08,85.62,86.31,85.00,85.69,18886400,15.77
1998-06-05,85.87,86.50,84.75,86.25,34431600,15.88
1998-06-04,84.69,86.12,83.62,86.06,33717600,15.84
1998-06-03,85.87,86.44,84.12,84.31,36010800,15.52
1998-06-02,84.06,85.94,83.87,85.50,38570800,15.74
